Year,AverageDHW
2006,1.909683
2007,1.859708
2008,1.679754
2009,1.785421
2010,2.143932
2011,2.566313
2012,2.877112
2013,2.611256
2014,3.151276
2015,2.936217
2016,2.774645
2017,2.869649
2018,2.826523
2019,2.8921
2020,2.987837
2021,2.500462
2022,3.37818
2023,3.866588
2024,3.740522
2025,3.871092
2026,4.495305
2027,4.850909
2028,5.103198
2029,4.991351
2030,5.349904
2031,5.83498
2032,5.885992
2033,5.838317
2034,6.300517
2035,6.310322
2036,7.328122
2037,7.577461
2038,6.801099
2039,7.582908
2040,8.00413
2041,8.037024
2042,8.367029
2043,8.491525
2044,9.959548
2045,10.08823
2046,9.991554
2047,10.33091
2048,11.4733
2049,10.98454
2050,12.09819
2051,12.03963
2052,12.97122
2053,12.68057
2054,13.16421
2055,13.77042
2056,13.77475
2057,13.69688
2058,15.30476
2059,15.37898
2060,15.39882
2061,16.3864
2062,16.55195
2063,17.06246
2064,19.03732
2065,18.26023
2066,19.05233
2067,19.56673
2068,20.76677
2069,21.60537
2070,21.01429
2071,21.71305
2072,21.47171
2073,21.98646
2074,22.63098
2075,23.22427
2076,24.12294
2077,24.25646
2078,24.51348
2079,25.17384
2080,25.15109
2081,26.10481
2082,26.74237
2083,26.32199
2084,27.07874
2085,28.63238
2086,29.11517
2087,28.70483
2088,29.33496
2089,31.07298
2090,30.52098
2091,31.23963
2092,32.059
2093,31.82914
2094,31.99007
2095,32.6677
2096,32.87747
2097,35.46175
2098,34.72167